ref,title,tags,matched_tags,category
https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3,ai-mathematical-olympiad-progress-prize-3,"['nlp', 'mathematics', 'custom metric']",['NLP'],Featured
https://www.kaggle.com/competitions/openai-gpt-oss-20b-red-teaming,openai-gpt-oss-20b-red-teaming,"['nlp', 'adversarial learning']",['NLP'],Featured
https://www.kaggle.com/competitions/llm-prompt-recovery,llm-prompt-recovery,"['artificial intelligence', 'nlp', 'custom metric']",['NLP'],Featured
https://www.kaggle.com/competitions/feedback-prize-2021,feedback-prize-2021,"['nlp', 'text', 'primary and secondary schools', 'custom metric']",['NLP'],Featured
https://www.kaggle.com/competitions/AI4Code,AI4Code,"['computer science', 'nlp', 'text', 'custom metric']",['NLP'],Featured
https://www.kaggle.com/competitions/google-gemma-3n-hackathon,google-gemma-3n-hackathon,"['tabular', 'text']",['Tabular'],Featured
https://www.kaggle.com/competitions/home-credit-credit-risk-model-stability,home-credit-credit-risk-model-stability,"['banking', 'tabular', 'custom metric']",['Tabular'],Featured
https://www.kaggle.com/competitions/amex-default-prediction,amex-default-prediction,"['finance', 'tabular', 'binary classification', 'custom metric']",['Tabular'],Featured
https://www.kaggle.com/competitions/optiver-trading-at-the-close,optiver-trading-at-the-close,"['finance', 'tabular', 'meancolumnwisemae']",['Tabular'],Featured
https://www.kaggle.com/competitions/optiver-realized-volatility-prediction,optiver-realized-volatility-prediction,"['finance', 'tabular', 'rootmeansquarepercentageerror']",['Tabular'],Featured
https://www.kaggle.com/competitions/riiid-test-answer-prediction,riiid-test-answer-prediction,"['education', 'tabular', 'auc']",['Tabular'],Featured
https://www.kaggle.com/competitions/springleaf-marketing-response,springleaf-marketing-response,"['marketing', 'tabular', 'binary classification', 'auc']",['Tabular'],Featured
https://www.kaggle.com/competitions/tlvmc-parkinsons-freezing-gait-prediction,tlvmc-parkinsons-freezing-gait-prediction,"['medicine', 'time series analysis', 'multiclass classification', 'custom metric']",['Time Series Analysis'],Research
https://www.kaggle.com/competitions/open-problems-single-cell-perturbations,open-problems-single-cell-perturbations,"['genetics', 'biotechnology', 'tabular', 'custom metric']",['Tabular'],Featured
https://www.kaggle.com/competitions/nfl-player-contact-detection,nfl-player-contact-detection,"['football', 'health', 'tabular', 'video', 'matthewscorrelationcoefficient']",['Tabular'],Featured
https://www.kaggle.com/competitions/bigquery-ai-hackathon,bigquery-ai-hackathon,"['tabular', 'text', 'bigquery', 'multimodal']",['Tabular'],Featured
https://www.kaggle.com/competitions/nfl-big-data-bowl-2021,nfl-big-data-bowl-2021,"['football', 'data analytics', 'tabular']",['Tabular'],Analytics
https://www.kaggle.com/competitions/gemini-long-context,gemini-long-context,"['nlp', 'text generation', 'video generation', 'video text']",['NLP'],Analytics
https://www.kaggle.com/competitions/the-allen-ai-science-challenge,the-allen-ai-science-challenge,"['artificial intelligence', 'tabular', 'text', 'multiclass classification', 'categorizationaccuracy']",['Tabular'],Featured
https://www.kaggle.com/competitions/nfl-playing-surface-analytics,nfl-playing-surface-analytics,"['sports', 'tabular']",['Tabular'],Analytics
https://www.kaggle.com/competitions/home-credit-default-risk,home-credit-default-risk,"['banking', 'tabular', 'auc']",['Tabular'],Featured
https://www.kaggle.com/competitions/santander-customer-transaction-prediction,santander-customer-transaction-prediction,"['banking', 'tabular', 'binary classification', 'auc']",['Tabular'],Featured
https://www.kaggle.com/competitions/jigsaw-unintended-bias-in-toxicity-classification,jigsaw-unintended-bias-in-toxicity-classification,"['nlp', 'text', 'custom metric']",['NLP'],Featured
https://www.kaggle.com/competitions/jpx-tokyo-stock-exchange-prediction,jpx-tokyo-stock-exchange-prediction,"['finance', 'tabular', 'custom metric']",['Tabular'],Featured
https://www.kaggle.com/competitions/icr-identify-age-related-conditions,icr-identify-age-related-conditions,"['health', 'tabular', 'binary classification', 'weightedmulticlassloss']",['Tabular'],Featured
https://www.kaggle.com/competitions/santander-customer-satisfaction,santander-customer-satisfaction,"['banking', 'tabular', 'binary classification', 'auc']",['Tabular'],Featured
https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use,child-mind-institute-problematic-internet-use,"['health', 'time series analysis', 'multiclass classification', 'cohen kappa score']",['Time Series Analysis'],Featured
https://www.kaggle.com/competitions/commonlit-evaluate-student-summaries,commonlit-evaluate-student-summaries,"['education', 'nlp', 'primary and secondary schools', 'custom metric']",['NLP'],Featured
https://www.kaggle.com/competitions/amp-parkinsons-disease-progression-prediction,amp-parkinsons-disease-progression-prediction,"['biology', 'tabular', 'custom metric']",['Tabular'],Featured
https://www.kaggle.com/competitions/santander-product-recommendation,santander-product-recommendation,"['banking', 'tabular', 'multiclass classification', 'map@{k}']",['Tabular'],Featured
https://www.kaggle.com/competitions/feedback-prize-english-language-learning,feedback-prize-english-language-learning,"['education', 'nlp', 'primary and secondary schools', 'custom metric']",['NLP'],Featured
https://www.kaggle.com/competitions/predict-student-performance-from-game-play,predict-student-performance-from-game-play,"['tabular', 'binary classification', 'fscoremacro']",['Tabular'],Featured
https://www.kaggle.com/competitions/linking-writing-processes-to-writing-quality,linking-writing-processes-to-writing-quality,"['education', 'nlp', 'primary and secondary schools', 'mean squared error']",['NLP'],Featured
https://www.kaggle.com/competitions/map-charting-student-math-misunderstandings,map-charting-student-math-misunderstandings,"['education', 'nlp', 'primary and secondary schools', 'map@{k}']",['NLP'],Featured
https://www.kaggle.com/competitions/feedback-prize-effectiveness,feedback-prize-effectiveness,"['nlp', 'text', 'primary and secondary schools', 'multiclassloss']",['NLP'],Featured
https://www.kaggle.com/competitions/eedi-mining-misconceptions-in-mathematics,eedi-mining-misconceptions-in-mathematics,"['education', 'nlp', 'primary and secondary schools', 'map@{k}']",['NLP'],Featured
https://www.kaggle.com/competitions/learning-equality-curriculum-recommendations,learning-equality-curriculum-recommendations,"['education', 'tabular', 'primary and secondary schools', 'fscorebetamicro']",['Tabular'],Featured
https://www.kaggle.com/competitions/m5-forecasting-accuracy,m5-forecasting-accuracy,"['time series analysis', 'custom metric']",['Time Series Analysis'],Featured
https://www.kaggle.com/competitions/elo-merchant-category-recommendation,elo-merchant-category-recommendation,"['banking', 'tabular', 'regression', 'rmse']",['Tabular'],Featured
https://www.kaggle.com/competitions/hms-harmful-brain-activity-classification,hms-harmful-brain-activity-classification,"['research', 'healthcare', 'signal processing', 'tabular', 'kullback leibler divergence']",['Tabular'],Research
