date,commit,author,file,change_type,lines_added,lines_removed,msg
2025-03-31,72b399c1cce9f66cc6780a6d3da6491d4c47638a,acornet,back/scripts/enrichment/communities_enricher.py,ADD,25,0,[BACK] Add template for enrichers + resend data to PSQL (#119)
2025-03-31,72b399c1cce9f66cc6780a6d3da6491d4c47638a,acornet,back/scripts/enrichment/marches_enricher.py,ADD,24,0,[BACK] Add template for enrichers + resend data to PSQL (#119)
2025-03-31,72b399c1cce9f66cc6780a6d3da6491d4c47638a,acornet,back/scripts/enrichment/subventions_enricher.py,ADD,69,0,[BACK] Add template for enrichers + resend data to PSQL (#119)
2025-03-31,78108dc428ad437662561f932058c4fca2fc4b3b,acornet,back/scripts/enrichment/communities_enricher.py,MODIFY,3,3,[BACK] Fix typing (#131)
2025-03-31,78108dc428ad437662561f932058c4fca2fc4b3b,acornet,back/scripts/enrichment/marches_enricher.py,MODIFY,3,3,[BACK] Fix typing (#131)
2025-03-31,78108dc428ad437662561f932058c4fca2fc4b3b,acornet,back/scripts/enrichment/subventions_enricher.py,MODIFY,5,2,[BACK] Fix typing (#131)
2025-04-03,bb607494f883edc5961b1f73528dcc2c24e4d6b6,acornet,back/scripts/enrichment/marches_enricher.py,MODIFY,10,2,[BACK] Add use normalize_montant in MarchesPublicsEnricher (#132)
2025-04-06,fe81fb0d12a1fcc69d39f2a5f9c5a853b592f7ce,Goudet,back/scripts/enrichment/subventions_enricher.py,MODIFY,9,8,[BACK] Colonnes de subvention en snake case (#150)
2025-04-07,070883639778833ec89401b1f077c75190073017,acornet,back/scripts/enrichment/marches_enricher.py,MODIFY,9,3,[BACK] Enrich marches with CPV labels (#144)
2025-04-12,69735c5b897d9caefe232e3df4fe84d30d7788f4,GuillaumeFo,back/scripts/enrichment/marches_enricher.py,MODIFY,51,0,[BACK] MP enricher de type_prix et forme_prix (#166)
2025-04-13,cec45340f115e3f5f4d9297aef8c66c4ec1cd54c,Goudet,back/scripts/enrichment/elected_officials_enricher.py,ADD,66,0,[BACK] Identifie l'élu principal (#154)
2025-04-15,7d56009589088745ee0526256cd3f075cd3399b4,Goudet,back/scripts/enrichment/marches_enricher.py,MODIFY,11,4,[BACK] Snake case pour les marchés. (#175)
2025-04-15,9ca731311ef31f8743dd0a0c56edab536809e90d,GuillaumeFo,back/scripts/enrichment/marches_enricher.py,MODIFY,69,1,[BACK] MP enricher type identifiant du titulaire (#177)
2025-04-16,0fd79bb01f3e4c6beb3abdb760d6ade993f35261,chloebarre,back/scripts/enrichment/marches_enricher.py,MODIFY,28,7,clean date and add columns obligation (#182)
2025-04-17,53a2558ba9e19a74880b802509178b593a23ad86,GuillaumeFo,back/scripts/enrichment/marches_enricher.py,MODIFY,108,0,[BACK] MP enricher lieuExecution (#187)
2025-04-19,e06a681e2d748ef54e6ecef8aa96c62a23c0af74,GuillaumeFo,back/scripts/enrichment/marches_enricher.py,MODIFY,48,22,"[BACK] MP enricher considerationsEnvironnementales, modaliteExecution, technique (#189)"
2025-04-19,b76c517f0f6182e8353e40f14fa7883cc9bb2622,chloebarre,back/scripts/enrichment/marches_enricher.py,MODIFY,3,0,[BACK] clean identifiant (#191)
2025-04-22,220aa2241d5542ba16194640396f8ab9e1e91c1a,chloebarre,back/scripts/enrichment/financial_account_enricher.py,ADD,191,0,[Back] add siren to financial (#190)
2025-04-24,a129131d2d458814d00eeb716dcaba4124e210c7,GuillaumeFo,back/scripts/enrichment/marches_enricher.py,MODIFY,204,15,[BACK]  MP deduplicate (#212)
2025-04-24,e61ee753d0a3305cbf1f8661364c58094d0e258d,chloebarre,back/scripts/enrichment/bareme_enricher.py,ADD,205,0,[BACK] Bareme des MP avec la creation d'un bareme_enricher (#194)
2025-04-24,e61ee753d0a3305cbf1f8661364c58094d0e258d,chloebarre,back/scripts/enrichment/financial_account_enricher.py,MODIFY,1,15,[BACK] Bareme des MP avec la creation d'un bareme_enricher (#194)
2025-04-24,e61ee753d0a3305cbf1f8661364c58094d0e258d,chloebarre,back/scripts/enrichment/subventions_enricher.py,MODIFY,1,0,[BACK] Bareme des MP avec la creation d'un bareme_enricher (#194)
2025-05-21,b23dcee507b298035ff39f37eaaf218938431d7c,chloebarre,back/scripts/enrichment/communities_enricher.py,MODIFY,46,4,[BACK] Add the global score mean of mp_score_num and sub_score_num (#215)
2025-05-21,d26437180cdf0ab68b034e560736355eedbde152,RiwsPy,back/scripts/enrichment/bareme_enricher.py,MODIFY,5,4,"[BACK] feat: upgrade ruff python version, ruff-pre-commit, add isort config (#245)"
2025-05-21,d26437180cdf0ab68b034e560736355eedbde152,RiwsPy,back/scripts/enrichment/communities_enricher.py,MODIFY,3,3,"[BACK] feat: upgrade ruff python version, ruff-pre-commit, add isort config (#245)"
2025-05-21,d26437180cdf0ab68b034e560736355eedbde152,RiwsPy,back/scripts/enrichment/financial_account_enricher.py,MODIFY,3,2,"[BACK] feat: upgrade ruff python version, ruff-pre-commit, add isort config (#245)"
2025-05-21,d26437180cdf0ab68b034e560736355eedbde152,RiwsPy,back/scripts/enrichment/marches_enricher.py,MODIFY,4,4,"[BACK] feat: upgrade ruff python version, ruff-pre-commit, add isort config (#245)"
2025-07-17,4088abc93ecc0664b17bae0ed6780f15fdd303a1,Jambe,back/scripts/enrichment/subventions_enricher.py,MODIFY,17,2,fix(subventions-enricher): migrate to pl.LazyFrame (#305)
2025-07-18,f35c137e976dcb646e13f7170703270040954562,RiwsPy,back/scripts/enrichment/bareme_enricher.py,MODIFY,0,3,[BACK] chore: Enrichment (#306)
2025-07-18,f35c137e976dcb646e13f7170703270040954562,RiwsPy,back/scripts/enrichment/communities_enricher.py,MODIFY,2,6,[BACK] chore: Enrichment (#306)
2025-07-18,f35c137e976dcb646e13f7170703270040954562,RiwsPy,back/scripts/enrichment/elected_officials_enricher.py,MODIFY,2,6,[BACK] chore: Enrichment (#306)
2025-07-18,f35c137e976dcb646e13f7170703270040954562,RiwsPy,back/scripts/enrichment/financial_account_enricher.py,MODIFY,2,6,[BACK] chore: Enrichment (#306)
2025-07-18,f35c137e976dcb646e13f7170703270040954562,RiwsPy,back/scripts/enrichment/marches_enricher.py,MODIFY,3,6,[BACK] chore: Enrichment (#306)
2025-07-18,f35c137e976dcb646e13f7170703270040954562,RiwsPy,back/scripts/enrichment/subventions_enricher.py,MODIFY,7,7,[BACK] chore: Enrichment (#306)
2025-07-21,1de185105b8adbf25ead863e84312bbd10c3aeee,chloebarre,back/scripts/enrichment/marches_enricher.py,MODIFY,10,0,[BACK] Drop Row with null data mp (#302)
2025-08-12,7ef1619d144b2d1d98f3799ac4ee1485d64f7315,Gilbow,back/scripts/enrichment/marches_enricher.py,MODIFY,26,1,[BACK] croisement avec sirene pour récupération du titulaire si vide. (#336)
2025-08-27,3928ca776791a3865540f179434e61e82d048e1e,Jambe,back/scripts/enrichment/financial_account_enricher.py,MODIFY,2,2,[Back]refactor financial accounts to polars.LazyFrame (#364)
2025-08-27,207e682a5bf795c7dd27ffd7d420c07021d26132,EP-portfolio,back/scripts/enrichment/bareme_enricher.py,MODIFY,254,64,[BACK] Barèmes OK (#377)
2025-08-28,3ff48a33105eb86df1437dfc82e7207a7fb900df,Marjorie-J,back/scripts/enrichment/communities_enricher.py,MODIFY,163,1,[BACK] : add averages in communities (#393)
2025-08-30,09974507df99347a91d83411ca9f3ac7152e18ef,Gilbow,back/scripts/enrichment/marches_enricher.py,MODIFY,18,0,[BACK] permettre la lecture de json non conformes. (#315)
2025-09-02,bb9d12d8ea3a1a3dc3403f61651e18d1fe7e5f4c,chloebarre,back/scripts/enrichment/bareme_enricher.py,MODIFY,76,0,[Back] evolution bareme (#402)
2025-09-02,bb9d12d8ea3a1a3dc3403f61651e18d1fe7e5f4c,chloebarre,back/scripts/enrichment/communities_enricher.py,MODIFY,6,34,[Back] evolution bareme (#402)
2025-09-03,f68942d40e1a01fd04d26c5d834927a2189187a4,chloebarre,back/scripts/enrichment/subventions_enricher.py,MODIFY,2,0,[BACK] suppression doublons subventions (#382)
2025-09-03,a67417279097334a769e9c79a9dfd63345e42fcb,chloebarre,back/scripts/enrichment/bareme_enricher.py,MODIFY,2,38,[BACK] global score (#398)
2025-09-03,28e01bd001c2c6e04546451f50e4d7ab7498c926,chloebarre,back/scripts/enrichment/communities_enricher.py,MODIFY,5,0,[BACK] Met to GRP (#415)
2025-09-09,1e832c04c888f3c118b513d764e81489afc684bf,GuillaumeFo,back/scripts/enrichment/marches_enricher.py,MODIFY,27,14,[BACK] MP - Amélioration dédoublonnage marchés publics (#424)
2025-09-12,a1a47562af4bd6888e24a9ebfe0c3914ff7705f5,chloebarre,back/scripts/enrichment/communities_enricher.py,MODIFY,0,5,[Back] evolution bareme (#414)
2025-09-21,18853670ea70f7ba26446806e9707f2c35544134,chloebarre,back/scripts/enrichment/bareme_enricher.py,MODIFY,38,2,"Revert ""[BACK] global score (#398)"" (#441)"
2025-09-21,ee351e4cfa83dfc07c83e0613fd4ce96af268e4a,chloebarre,back/scripts/enrichment/communities_enricher.py,MODIFY,5,0,"Revert ""[Back] evolution bareme (#414)"" (#440)"
2025-09-24,4a2de06ccced7bf81a654c16f9adb632da44d8d2,Marjorie-J,back/scripts/enrichment/communities_enricher.py,MODIFY,58,0,[BACK] lissage des noms des collectivités (#446)
2025-10-15,8d0f17814fee9282b8b714df5b7322bb4f5469a1,GuillaumeFo,back/scripts/enrichment/marches_enricher.py,MODIFY,130,88,[BACK] MP - refacto du traitement des titulaires (#452)
2025-11-10,3fd92348944af47bf36accfa6c072b157acd2452,GuillaumeFo,back/scripts/enrichment/bareme_enricher.py,MODIFY,36,12,[BACK] Conservation ids et modification montants (#467)
2025-11-10,3fd92348944af47bf36accfa6c072b157acd2452,GuillaumeFo,back/scripts/enrichment/communities_enricher.py,MODIFY,17,0,[BACK] Conservation ids et modification montants (#467)
2025-11-10,3fd92348944af47bf36accfa6c072b157acd2452,GuillaumeFo,back/scripts/enrichment/marches_enricher.py,MODIFY,14,11,[BACK] Conservation ids et modification montants (#467)
